new_ward_code,old_ward_code
"18118","18118"
"18118","18127"
"18118","18130"
"22402","22357"
"22402","22378"
"22402","22381"
"22402","22402"
"22402","22405"
"09286","09271"
"09286","09286"
"16516","16534"
"16516","16516"
"16516","16513"
"16516","16519"
"11542","11542"
"11542","11551"
"11542","11545"
"19351","19342"
"19351","19348"
"19351","19336"
"19351","19351"
"13669","13681"
"13669","13636"
"13669","13687"
"13669","13669"
"13669","13666"
"13669","13678"
"13669","13690"
"13669","13726"
"11737","11467"
"11737","11737"
"11737","11465"
"10837","10672"
"10837","10837"
"16654","16654"
"16654","16660"
"16654","16657"
"04288","04288"
"04288","04282"
"04288","04300"
"04288","04666"
"21028","21010"
"21028","21013"
"21028","21016"
"21028","21028"
"00160","00160"
"00160","00157"
"00160","00169"
"00160","00616"
"10552","10552"
"10552","10558"
"10552","10555"
"13396","13387"
"13396","13396"
"13396","13411"
"10744","10741"
"10744","10744"
"10744","10747"
"29254","29254"
"29254","29257"
"29254","29395"
"15925","15913"
"15925","15922"
"15925","15925"
"15925","15970"
"31340","31341"
"31340","31343"
"31340","31340"
"31732","31732"
"31732","31735"
"31732","31738"
"11329","11329"
"11329","11335"
"11329","11338"
"11329","11341"
"20285","20284"
"20285","20285"
"20285","20290"
"20285","20287"
"00008","00006"
"00008","00008"
"00008","00016"
"00008","00007"
"16576","16564"
"16576","16576"
"16576","16567"
"16576","16570"
"22366","22348"
"22366","22363"
"22366","22375"
"22366","22366"
"22366","22372"
"27142","27142"
"27142","27133"
"27142","27130"
"27142","27127"
"09253","09250"
"09253","09253"
"09253","09259"
"10714","10702"
"10714","10696"
"10714","10714"
"10714","10699"
"28477","28474"
"28477","28483"
"28477","28477"
"22834","22777"
"22834","22834"
"22528","22528"
"22528","22570"
"22528","22564"
"22528","22573"
"31135","31135"
"31135","31123"
"31135","31144"
"25567","25483"
"25567","25567"
"25567","25570"
"09445","09442"
"09445","09445"
"02212","02212"
"02212","02209"
"07894","07894"
"07894","07927"
"07894","07924"
"01279","01279"
"01279","01270"
"01279","01693"
"07795","07807"
"07795","07795"
"07795","07801"
"07795","07789"
"22759","22759"
"22759","22750"
"22759","22765"
"22759","22762"
"22945","22930"
"22945","22945"
"22945","22951"
"05443","05449"
"05443","05443"
"05443","05437"
"05443","05458"
"05443","05446"
"05443","05440"
"05443","05452"
"07954","07945"
"07954","07954"
"07954","07963"
"07183","07165"
"07183","07177"
"07183","07183"
"07183","07171"
"19831","19846"
"19831","19831"
"19831","19837"
"19828","19828"
"19828","19825"
"19873","19843"
"19873","19879"
"19873","19873"
"19858","19858"
"19858","19852"
"19858","19864"
"19819","19819"
"19819","19855"
"19819","19861"
"09379","09388"
"09379","09373"
"09379","09379"
"11446","11449"
"11446","11440"
"11446","11446"
"11446","11437"
"13291","13291"
"13291","13426"
"13291","13306"
"25768","25855"
"25768","25765"
"25768","25768"
"19960","19960"
"19960","19987"
"19960","19990"
"19960","19993"
"00619","00619"
"00619","00620"
"00619","00163"
"28756","28756"
"28756","28759"
"28756","28786"
"28756","28795"
"27349","27358"
"27349","27349"
"27349","27346"
"09568","09568"
"09568","09571"
"25750","25744"
"25750","25750"
"25750","25741"
"31510","31522"
"31510","31510"
"31510","31519"
"31510","31516"
"26704","26719"
"26704","26704"
"27073","27064"
"27073","27070"
"27073","27073"
"27073","27085"
"27484","27484"
"00091","00091"
"27028","27028"
"27028","27037"
"27028","27040"
"27226","27226"
"27226","27208"
"07942","07942"
"07942","07957"
"07942","07951"
"27022","27025"
"27022","27022"
"22924","22921"
"22924","22924"
"22924","22936"
"28858","28757"
"28858","28858"
"28858","28846"
"19753","19756"
"19753","19759"
"19753","19750"
"19753","19753"
"19753","19762"
"19753","19768"
"22240","22040"
"22240","22041"
"22240","22240"
"22240","22243"
"27427","27415"
"27427","27421"
"27427","27427"
"27427","27430"
"00136","00136"
"00136","00151"
"05857","05872"
"05857","05857"
"05857","05866"
"08740","08740"
"08740","08743"
"08740","08737"
"08740","08758"
"08740","08755"
"09265","09280"
"09265","09265"
"00352","00352"
"00352","00358"
"25220","25244"
"25220","25245"
"25220","25220"
"25220","25219"
"23231","23231"
"23231","23232"
"23231","23268"
"25217","25217"
"25217","25216"
"25217","25237"
"25217","25249"
"26848","26863"
"26848","26851"
"26848","26848"
"26542","26539"
"26542","26542"
"31162","31165"
"31162","31162"
"26377","26377"
"07612","07576"
"07612","07600"
"07612","07612"
"10726","10693"
"10726","10723"
"10726","10726"
"11953","11956"
"11953","11959"
"11953","11953"
"11953","11962"
"11953","11971"
"11953","11974"
"05860","05860"
"05860","05869"
"05860","05854"
"05860","05875"
"13285","13294"
"13285","13315"
"13285","13309"
"13285","13285"
"23575","23575"
"23575","23566"
"23575","23572"
"23575","23570"
"23575","23596"
"05482","05431"
"05482","05482"
"05482","05434"
"05482","05653"
"06778","06778"
"06778","06787"
"06778","06784"
"14818","14809"
"14818","14818"
"14818","14823"
"14818","14824"
"21583","21562"
"21583","21583"
"21583","21580"
"21583","21556"
"21553","21559"
"21553","21553"
"21592","21577"
"21592","21592"
"21592","21565"
"21592","21595"
"21589","21589"
"21589","21991"
"21601","21601"
"21601","21598"
"21601","21604"
"21601","21550"
"05455","05455"
"05455","05491"
"05455","05485"
"16522","14800"
"16522","16522"
"16522","16525"
"16522","14806"
"16522","16459"
"16522","16441"
"16522","16507"
"20356","20359"
"20356","20371"
"20356","20356"
"19360","19357"
"19360","19360"
"19360","19361"
"19360","19358"
"19360","19705"
"07132","07132"
"07132","07162"
"07132","07153"
"09247","09247"
"09247","09262"
"09247","09283"
"09247","09268"
"17125","17125"
"17125","17137"
"17125","17134"
"17125","17131"
"26536","26536"
"26536","26533"
"26536","26535"
"30742","30736"
"30742","30733"
"30742","30742"
"30742","30745"
"30742","30748"
"30742","30739"
"30742","30751"
"30742","30754"
"30742","30757"
"21478","21478"
"21478","21481"
"03006","03016"
"03006","03003"
"03006","03002"
"03006","03028"
"03006","03006"
"03006","03001"
"29905","29905"
"29905","29911"
"29905","29902"
"29905","29908"
"29905","29919"
"29905","29917"
"29905","29914"
"29905","29920"
"09433","09433"
"09433","09436"
"09433","09439"
"09433","09451"
"26740","26740"
"31507","31498"
"31507","31507"
"31507","31501"
"31507","31504"
"05518","05518"
"05518","05521"
"05518","05515"
"22051","22051"
"22051","22069"
"22051","22072"
"22051","22073"
"18754","18754"
"18754","18820"
"18754","18811"
"11983","12331"
"11983","12334"
"11983","11983"
"11983","11950"
"28729","28309"
"28729","28729"
"28729","28708"
"20263","20263"
"20263","20266"
"20263","20269"
"09574","09577"
"09574","09574"
"09574","09595"
"09574","09592"
"09574","09601"
"09574","09586"
"28783","28762"
"28783","28783"
"28783","28831"
"16531","14842"
"16531","14839"
"16531","14830"
"16531","14833"
"16531","14836"
"16531","16531"
"16531","16528"
"26803","26797"
"26803","26803"
"26803","26806"
"13420","13429"
"13420","13420"
"13420","13414"
"26017","26008"
"26017","26014"
"26017","26017"
"26017","26047"
"20341","20341"
"20341","20347"
"20341","20353"
"26572","26558"
"26572","26572"
"26572","26569"
"26374","26374"
"21637","21637"
"21637","21649"
"09370","09376"
"09370","09370"
"05986","05974"
"05986","05986"
"26526","26524"
"26526","26527"
"26526","26530"
"26526","26526"
"14362","14362"
"14362","14369"
"14362","14377"
"28436","28436"
